geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.8717292324, 2.3761963156;145;11;11/143;116;RUE DU FAUBOURG DU TEMPLE;602910.161741;130143.125126;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8390921089, 2.28255646788;240;15;15/115;face 170;RUE DE LOURMEL;596038.606573;126514.505826;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8325740517, 2.31141918096;228;14;14/157;147;RUE VERCINGETORIX;598156.967588;125788.577025;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8379520924, 2.35118650653;54;05;5/145;9;AVENUE DES GOBELINS;601076.277509;126386.419289;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8396213356, 2.37821862947;164;12;12/139;12;BOULEVARD DE BERCY;603060.459725;126572.784057;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8543011743, 2.30508321089;68;07;7/128;2;PLACE JOFFRE;597692.850345;128204.823117;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8600598633, 2.36070068743;24;03;3/102;2;RUE DES QUATRE FILS;601773.890142;128845.000351;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.895835561, 2.32804076739;293;17;17/144;2;RUE JACQUES KELLNER;599378.037212;132823.030846;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8700278994, 2.36659750587;120;10;10/143;face 50;QUAI DE JEMMAPES;602206.116711;129953.609099;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8508303988, 2.27789099265;272;16;16/109;9;QUAI LOUIS BLERIOT;595697.17054;127820.068441;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8476830944, 2.3279690909;58;06;6/115;85;BOULEVARD RASPAIL;599372.140607;127468.443588;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8533162776, 2.40925809907;380;20;20/112;131;RUE D AVRON;605337.366245;128097.400904;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
