geom_x_y;objectid;arrondissement;identifiant;numero_voie;nom_voie;x;y;horaires_ouverture;gestionnaire;source
48.884205159, 2.35515147711;314;18;18/117;60;BOULEVARD DE LA CHAPELLE;601366.086875;131529.858153;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8405254287, 2.39204037215;153;12;12/109;179;AVENUE DAUMESNIL;604074.932449;126673.975141;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.831657966, 2.32017895944;209;14;14/116;face 36;RUE DIDOT;598800.022948;125686.531295;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8349615547, 2.34636990605;190;13;13/131;;BOULEVARD ARAGO;600722.757909;126053.811471;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8683430107, 2.38189800131;376;20;20/108;34;BOULEVARD DE BELLEVILLE;603328.632131;129766.811269;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8963596175, 2.3530164563;304;18;18/107;138;RUE DES POISSONNIERS;601209.22503;132881.405522;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8767420817, 2.34685265093;82;09;9/104;79bis;RUE LA FAYETTE;600757.588777;130699.841226;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8465506878, 2.28477482095;249;15;15/128;65;AVENUE EMILE ZOLA;596202.014382;127343.789949;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8484437891, 2.25717759424;277;16;16/126;;PLACE DE LA PORTE D AUTEUIL;594176.825751;127556.073142;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8894777633, 2.38070265061;359;19;19/126;2;RUE DE JOINVILLE;603239.579387;132116.958122;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8491004469, 2.40258392612;371;20;20/103;1;RUE DE BUZENVAL;604848.009214;127628.14767;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8749245669, 2.36364970349;117;10;10/135;116;QUAI DE JEMMAPES;601989.681331;130498.039762;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8478417928, 2.30207203653;253;15;15/138;;BOULEVARD GARIBALDI;597471.556036;127486.63171;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8443966009, 2.36039470127;53;05;5/143;;RUE CUVIER;601751.97958;127103.226879;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8458131187, 2.2559870395;276;16;16/123;face 21;AVENUE DU GENERAL SARRAIL;594089.137845;127263.634183;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8833450337, 2.32631183278;297;17;17/179;face 10;BOULEVARD DES BATIGNOLLES;599251.076022;131434.091437;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8296102487, 2.32630790325;227;14;14/152;199;AVENUE DU MAINE;599249.940548;125458.74454;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8662247816, 2.36500326172;124;11;11/103;54;BOULEVARD DU TEMPLE;602089.324272;129530.654206;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8244420825, 2.33853893042;206;14;14/109;face 40;AVENUE REILLE;600147.917061;124883.992146;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8567894255, 2.35418309909;40;04;4/122;face 50;RUE DE RIVOLI;601295.764055;128481.192061;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8687490656, 2.34323594839;22;02;2/123;117;RUE MONTMARTRE;600492.386344;129810.981979;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8578325126, 2.35581305144;36;04;4/107;10bis;RUE DE MOUSSY;601415.336016;128597.2136;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.884078656, 2.35342927125;335;18;18/161;face 90;BOULEVARD DE LA CHAPELLE;601239.789498;131515.761034;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8841038721, 2.3521864294;305;18;18/108;36;RUE DE LA CHARBONNIERE;601148.643028;131518.545284;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8948461073, 2.31429354624;292;17;17/142;132;BOULEVARD BESSIERES;598370.067462;132713.207265;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8199697602, 2.34772693476;171;13;13/102;79;BOULEVARD KELLERMANN;600822.613241;124386.725951;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.839165346, 2.39230258734;149;12;12/103;26;BOULEVARD DE REUILLY;604094.290085;126522.747134;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8856323541, 2.35340146335;298;18;18/101;face 17;RUE POLONCEAU;601237.712557;131688.532798;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.893502449, 2.33689209089;337;18;18/175;face 154;RUE ORDENER;600027.009708;132563.552928;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8471076938, 2.40747877396;161;12;12/123;90;COURS DE VINCENNES;605207.441016;127406.877939;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8360452422, 2.29341777565;239;15;15/113;face 6;RUE DESNOUETTES;596835.661757;126175.175394;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8223447327, 2.3727636369;173;13;13/106;;AVENUE CLAUDE REGAUD;602660.9624;124651.404952;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8989748409, 2.38677478261;362;19;19/132;9;AVENUE DE LA PORTE DE LA VILLETTE;603684.14367;133173.318889;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8279445001, 2.305654036;225;14;14/147;face 231;RUE RAYMOND LOSSERAND;597733.5194;125273.924266;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8309615645, 2.29183408716;231;15;15/103;face 57;BOULEVARD LEFEBVRE;596719.068829;125609.934996;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8993882119, 2.34445799674;327;18;18/144;11;RUE FRANCIS DE CROISSET;600581.698018;133218.084893;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8658415599, 2.36937734153;146;11;11/144;123;BOULEVARD RICHARD LENOIR;602410.238017;129488.170566;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.864242083, 2.37952312143;139;11;11/130;82;AVENUE DE LA REPUBLIQUE;603154.668436;129310.682922;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8532924467, 2.38788033428;127;11;11/106;195;BOULEVARD VOLTAIRE;603768.624259;128093.460108;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8282841151, 2.30336605485;229;15;15/101;185;BOULEVARD LEFEBVRE;597565.554024;125311.760986;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8680291958, 2.36532029262;121;10;10/145;;RUE DU FAUBOURG DU TEMPLE;602112.507211;129731.315266;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.899194262, 2.34396370204;338;18;18/190;15;AVENUE DE LA PORTE DE CLIGNANCOURT;600545.461227;133196.513851;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8641209728, 2.40898577792;384;20;20/118;6;PLACE DE LA PORTE DE BAGNOLET;605316.235561;129298.870868;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8636624932, 2.35096273778;9;02;2/101;69;BOULEVARD DE SEBASTOPOL;601059.322524;129245.431608;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.86338089, 2.37103957683;138;11;11/127;face 48;BOULEVARD VOLTAIRE;602532.309;129214.597;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8554039905, 2.40008152756;369;20;20/101;101;RUE ALEXANDRE DUMAS;604663.775999;128328.948732;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8541358706, 2.37766692086;128;11;11/107;125;AVENUE LEDRU ROLLIN;603019.092716;128186.788715;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8683953934, 2.3634091433;119;10;10/141;12;PLACE DE LA REPUBLIQUE;601972.290445;129771.984661;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.847134816, 2.38420732177;148;12;12/101;57;BOULEVARD DIDEROT;603499.519807;127408.549677;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8416407744, 2.34869156688;50;05;5/137;8;RUE JEAN CALVIN;600893.073707;126796.570851;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8778639152, 2.38125082319;364;19;19/138;3;RUE BOTZARIS;603280.534;130825.514;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8832700898, 2.34961000749;112;10;10/123;opposé au 168;BOULEVARD DE MAGENTA;600959.712559;131425.791911;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8516268274, 2.32518012982;66;07;7/126;face 12;RUE DE BABYLONE;599167.526668;127907.016454;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8586921502, 2.38394554725;133;11;11/114;135;RUE DE LA ROQUETTE;603479.507848;128693.721446;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.883534879, 2.33353024813;87;09;9/117;74;BOULEVARD DE CLICHY;599780.4592;131455.156473;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8526426927, 2.36835669665;33;04;4/103;41;BOULEVARD BOURDON;602335.970213;128020.414834;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8779817762, 2.37008390154;92;10;10/102;;PLACE DU COLONEL FABIEN;602461.481464;130838.194041;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8884941411, 2.34943063436;311;18;18/114;43;BOULEVARD BARBES;600946.461931;132006.707691;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8651933385, 2.30018344606;73;08;8/108;2;AVENUE MARCEAU;597333.894291;129416.200724;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8527219832, 2.33459026841;59;06;6/140;17;RUE DU FOUR;599858.088783;128028.738337;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8888356217, 2.37903396915;358;19;19/125;;RUE DE CRIMEE;603117.257;132045.481;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8404563216, 2.40466278548;152;12;12/108;124;AVENUE DU GENERAL MICHEL BIZOT;605001.435763;126667.050315;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8933841338, 2.36985563312;343;19;19/106;154;RUE D AUBERVILLIERS;602443.992782;132550.939247;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8571927967, 2.26669903431;279;16;16/135;face 38;AVENUE RAPHAEL;594876.502189;128528.273759;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8894228236, 2.31886670308;289;17;17/134;96ter;RUE LEMERCIER;598705.22975;132110.046128;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.844093329, 2.41126547446;160;12;12/122;6;AVENUE COURTELINE;605485.681944;127071.946626;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.884644912, 2.35909848088;328;18;18/148;;PLACE DE LA CHAPELLE;601655.531799;131578.838353;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8793838919, 2.38442043788;366;19;19/141;;RUE BOTZARIS;603512.905599;130994.679595;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8389404079, 2.38957294205;167;12;12/154;face 1;BOULEVARD DE REUILLY;603893.943833;126497.588933;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8827090841, 2.34349779975;84;09;9/114;45;BOULEVARD DE ROCHECHOUART;600511.461885;131363.347573;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8826756157, 2.34334023734;85;09;9/115;45;BOULEVARD DE ROCHECHOUART;600499.906751;131359.624795;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8374184706, 2.35354364655;52;05;5/142;78;BOULEVARD SAINT MARCEL;601249.315609;126327.11662;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8648794077, 2.40077805546;392;20;20/152;face 12;RUE BELGRAND;604713.995413;129382.664921;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.846008596, 2.36702780699;166;12;12/148;face 98;QUAI DE LA RAPEE;602238.746;127282.658;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8725811844, 2.36407391372;93;10;10/103;face 81;QUAI DE VALMY;602020.890801;130237.465272;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8347382889, 2.39353336243;150;12;12/106;283;RUE DE CHARENTON;604185.0016;126030.522764;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8583131762, 2.3802426629;140;11;11/131;8;PLACE LEON BLUM;603207.836354;128651.414731;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8801634262, 2.36731781779;111;10;10/122;179;QUAI DE VALMY;602258.503873;131080.708193;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8855238884, 2.38101490179;355;19;19/120;face 107;AVENUE JEAN JAURES;603262.733;131677.298;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8330150787, 2.33118702288;223;14;14/141;10;AVENUE DU GENERAL LECLERC;599608.179873;125837.32759;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8844921121, 2.3446622105;329;18;18/150;face 3;PLACE SAINT PIERRE;600596.838082;131561.630094;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8364136137, 2.30982319251;242;15;15/117;68;RUE DE LA PROCESSION;598039.955915;126215.579426;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8881820312, 2.37374993518;339;19;19/102;58;AVENUE DE FLANDRE;602729.816236;131972.595912;6 h - 22 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8268340661, 2.36458137343;180;13;13/114;90;RUE DE TOLBIAC;602059.975245;125150.365579;6 h - 1 h;Toilette publique de la Ville de Paris;http://opendata.paris.fr
48.8965489204, 2.33826967804;323;18;18/130;135;RUE DAMREMONT;600128.012557;132902.324132;24 h / 24;Toilette publique de la Ville de Paris;http://opendata.paris.fr
