idptar;nomptar;STIF;CodeINSEE;X;Y;coord;UFR;AnnonceSonoreProchainPassage;AnnonceVisuelleProchainPassage;AnnonceSonoreSituationsPerturbees;AnnonceVisuelleSituationsPerturbees;PAQT;AccessibiliteQuaiTrain
1962;Glacière;1001100060001;75113;600591;2425832;48.8308613646, 2.34455142997;0;1;1;1;1;0;0
2082;Dugommier;1001100060001;75112;603881;2426725;48.8388761109, 2.38934738424;0;1;1;1;1;0;0
2399;Picpus;1001100060001;75112;604794;2427443;48.8453230738, 2.40178631043;0;1;1;1;1;0;0
2068;Bercy;1001100060001;75112;603156;2426871;48.8401922036, 2.37947725393;0;1;1;1;1;0;0
2425;Porte de Saint-Cloud;1001100090001;75116;594057;2426581;48.8375652937, 2.25559127111;0;1;1;1;1;0;0
2343;Pont de Sèvres;1001100090001;92012;592215;2425707;48.8296902972, 2.23052843086;0;1;1;1;1;0;0
2280;Marcel Sembat;1001100090001;92012;593167;2426164;48.8338085462, 2.24348061108;0;1;1;1;1;0;0
1714;Saint-Ambroise;1001100090001;75111;602690;2429258;48.8616473835, 2.37314713744;0;1;1;1;1;0;0
1647;République;1001100090001;75111;601988;2429899;48.8674107881, 2.36358782222;0;1;1;1;1;0;0
2241;La Motte-Picquet-Grenelle;1001100100001;75115;597169;2427831;48.8488212259, 2.29795296069;0;1;1;1;1;0;0
1875;Mairie des Lilas;1001100110001;93045;605809;2431308;48.880051021, 2.41566020273;0;1;1;1;1;0;0
2018;Cardinal-Lemoine;1001100100001;75105;601089;2427595;48.8467058283, 2.35133517564;0;1;1;1;1;0;0
2476;Sèvres-Babylone;1001100100001;75107;599237;2428066;48.8509392477, 2.32611465149;0;1;1;1;1;0;0
1893;Hôtel de Ville;1001100110001;75104;601098;2428830;48.8578053324, 2.35146077318;0;1;1;1;1;0;0
967988;République;1001100110001;75111;601949;2429880;48.8672401446, 2.36305644261;0;1;1;1;1;0;0
1758;Pyrénées;1001100110001;75120;603551;2430613;48.8738211316, 2.38488636886;0;1;1;1;1;0;0
1908;Jussieu;1001100100001;75105;601325;2427490;48.8457617165, 2.35454859157;0;1;1;1;1;0;0
2541;Ségur;1001100100001;75115;597853;2427613;48.8468646613, 2.30726884425;0;1;1;1;1;0;0
2275;Malakoff-Plateau de Vanves;1001100130001;92020;597166;2424896;48.8224426532, 2.297932102;0;1;1;1;1;0;0
2035;Château de Vincennes;1001100010001;94080;607641;2427335;48.8443251036, 2.44055234288;0;1;1;1;1;0;0
1832;Nation;1001100010001;75112;604516;2427753;48.8481111908, 2.39800400946;0;1;1;1;1;0;0
2062;Bastille;1001100010001;75104;602402;2428293;48.8529756339, 2.36921882111;0;1;1;1;1;0;0
1642;Saint-Paul (Le Marais);1001100010001;75104;601823;2428533;48.8551344775, 2.36133433573;0;1;1;1;1;0;0
1688;Tuileries;1001100010001;75101;599456;2429606;48.8647801217, 2.3290949511;0;1;1;1;1;0;0
1945;Franklin-Roosevelt;1001100010001;75108;598073;2430077;48.8690103872, 2.31025317756;0;1;1;1;1;0;0
1803;Pont de Neuilly;1001100010001;92051;594278;2431915;48.8855060687, 2.25852746686;0;1;1;1;1;0;0
2470;Saint-Mandé;1001100010001;94007;606058;2427546;48.8462382158, 2.41899982478;0;1;1;1;1;0;0
2429;Porte de Vincennes;1001100010001;75120;605457;2427632;48.8470164776, 2.410816879;0;1;1;1;1;0;0
2210;Gare de Lyon;1001100010001;75112;602713;2427468;48.8455597463, 2.37344920163;0;1;1;1;1;0;0
2170;Concorde;1001100010001;75108;598876;2429706;48.8656780557, 2.32119376847;0;1;1;1;1;0;0
2544;Champs-Elysées-Clémenceau;1001100010001;75108;598357;2429936;48.8677439853, 2.31412277704;0;1;1;1;1;0;0
2200;Franklin-Roosevelt;1001100010001;75108;598073;2430077;48.8690103872, 2.31025317756;0;1;1;1;1;0;0
2147;Charles de Gaulle-Etoile;1001100010001;75108;596963;2430625;48.8739310535, 2.29512724832;0;1;1;1;1;0;0
2098;Argentine;1001100010001;75117;596546;2430819;48.8756724452, 2.28944416115;0;1;1;1;1;0;0
2342;Pont de Neuilly;1001100010001;92051;594278;2431915;48.8855060687, 2.25852746686;0;1;1;1;1;0;0
1833;Nation;1001100020001;75112;604444;2427899;48.8494238601, 2.39702503497;0;1;1;1;1;0;0
2087;Belleville;1001100020001;75119;602953;2430442;48.8722872798, 2.37673767399;0;1;1;1;1;0;0
1791;Pigalle;1001100020001;75118;600055;2431569;48.8824224877, 2.33725467877;0;1;1;1;1;0;0
2071;Blanche;1001100020001;75118;599705;2431719;48.8837704781, 2.33248514494;0;1;1;1;1;0;0
1629;Villiers;1001100020001;75117;598539;2431447;48.8813242532, 2.31659675818;0;1;1;1;1;0;0
2351;Ménilmontant;1001100020001;75111;603518;2429710;48.8657057469, 2.38442937183;0;1;1;1;1;0;0
2128;Couronnes;1001100020001;75111;603232;2430113;48.8693291287, 2.38053636283;0;1;1;1;1;0;0
2509;Villiers;1001100020001;75117;598539;2431447;48.8813242532, 2.31659675818;0;1;1;1;1;0;0
2148;Charles de Gaulle-Etoile;1001100020001;75108;596929;2430632;48.8739938, 2.29466395849;0;1;1;1;1;0;0
1737;Porte de Bagnolet;1001100030001;75120;605309;2429559;48.8643364947, 2.4088253727;0;1;1;1;1;0;0
1779;Parmentier;1001100030001;75111;602808;2429660;48.8652598159, 2.37475707838;0;1;1;1;1;0;0
1683;Temple;1001100030001;75103;601840;2429827;48.866764127, 2.3615713237;0;1;1;1;1;0;0
1889;Havre-Caumartin;1001100030001;75109;599411;2430572;48.8734618499, 2.32848048114;0;1;1;1;1;0;0
1630;Villiers;1001100030001;75117;598506;2431456;48.8814050597, 2.31614704757;0;1;1;1;1;0;0
1634;Wagram;1001100030001;75117;597729;2431713;48.8837124353, 2.30555775418;0;1;1;1;1;0;0
2542;Sentier;1001100030001;75102;600812;2429892;48.8673503407, 2.34756723208;0;1;1;1;1;0;0
2510;Villiers;1001100030001;75117;598506;2431456;48.8814050597, 2.31614704757;0;1;1;1;1;0;0
2277;Malesherbes;1001100030001;75117;598129;2431582;48.8825364321, 2.31100923967;0;1;1;1;1;0;0
2034;Château d'Eau;1001100040001;75110;601435;2430460;48.8724541102, 2.3560561648;0;1;1;1;1;0;0
1677;Strasbourg-Saint-Denis;1001100040001;75102;601321;2430146;48.8696323244, 2.35450205976;0;1;1;1;1;0;0
1855;Les Halles;1001100040001;75101;600732;2429298;48.86201193, 2.34647644857;0;1;1;1;1;0;0
1964;Châtelet;1001100040001;75101;600834;2428885;48.8583000152, 2.34786508424;0;1;1;1;1;0;0
1975;Cité;1001100040001;75104;600712;2428594;48.8556848095, 2.3462029262;0;1;1;1;1;0;0
1731;Saint-Placide;1001100040001;75106;599306;2427629;48.8470117994, 2.32705510802;0;1;1;1;1;0;0
1828;Mouton-Duvernet;1001100040001;75114;599552;2425980;48.8321915585, 2.3304069893;0;1;1;1;1;0;0
2040;Alésia;1001100040001;75114;599289;2425521;48.8280659789, 2.32682741672;0;1;1;1;1;0;0
4028973;Mairie de Montrouge;1001100040001;92049;598761;2424453;48.8184662963, 2.31964321528;0;1;1;1;1;0;0
2420;Porte de Clignancourt;1001100040001;75118;600549;2433299;48.8979701297, 2.3439883801;0;1;1;1;1;0;0
2208;Gare de l'Est (Verdun);1001100040001;75110;601577;2430932;48.8766957953, 2.35799250722;0;1;1;1;1;0;0
2017;Campo-Formio;1001100050001;75113;601634;2426354;48.8355511759, 2.35875209186;0;1;1;1;1;0;0
2121;Bobigny-Pantin (Raymond Queneau);1001100050001;93008;606482;2433061;48.8957991918, 2.42485729506;0;1;1;1;1;0;0
2257;Eglise de Pantin;1001100050001;93055;605605;2432819;48.8936324872, 2.4129002627;0;1;1;1;1;0;0
2294;Jacques-Bonsergent;1001100050001;75110;601767;2430265;48.8707007825, 2.36057863225;0;1;1;1;1;0;0
2112;Bastille;1001100050001;75104;602398;2428339;48.8533890715, 2.36916459888;0;1;1;1;1;0;0
2437;Quai de la Rapée;1001100050001;75112;602233;2427513;48.8459659916, 2.3669131764;0;1;1;1;1;0;0
2136;Campo-Formio;1001100050001;75113;601634;2426354;48.8355511759, 2.35875209186;0;1;1;1;1;0;0
1974;Chevaleret;1001100060001;75113;602235;2426246;48.8345787576, 2.36693389574;0;1;1;1;1;0;0
1794;Place d'Italie;1001100060001;75113;601417;2425860;48.8311117975, 2.35579614238;0;1;1;1;1;0;0
1640;Saint-Jacques;1001100060001;75114;600013;2426069;48.832991651, 2.33668289331;0;1;1;1;1;0;0
1997;Denfert-Rochereau;1001100060001;75114;599760;2426181;48.833998196, 2.33323849783;0;1;1;1;1;0;0
1763;Raspail;1001100060001;75114;599572;2426724;48.8388783378, 2.33067841595;0;1;1;1;1;0;0
2069;Bir-Hakeim (Grenelle);1001100060001;75115;596498;2428444;48.8543271778, 2.2888101004;0;1;1;1;1;0;0
1909;Kléber;1001100060001;75116;596831;2430333;48.8713061083, 2.29333101756;0;1;1;1;1;0;0
2255;Edgar-Quinet;1001100060001;75114;599258;2426912;48.8405676854, 2.32640281189;0;1;1;1;1;0;0
2364;Montparnasse-Bienvenue;1001100060001;75114;598878;2427057;48.8418702955, 2.32122837067;0;1;1;1;1;0;0
2122;Boissière;1001100060001;75116;596589;2429838;48.866856114, 2.29003807011;0;1;1;1;1;0;0
2149;Charles de Gaulle-Etoile;1001100060001;75108;596936;2430601;48.8737152275, 2.29475955952;0;1;1;1;1;0;0
1944;Fort d'Aubervilliers;1001100070001;93001;604919;2435091;48.9140567044, 2.40357633118;0;1;1;1;1;0;0
1703;Riquet;1001100070001;75119;602783;2432234;48.8883931911, 2.37443310555;0;1;1;1;1;0;0
1860;L1s Blanc;1001100070001;75110;602099;2431400;48.8809003874, 2.36510721493;0;1;1;1;1;0;0
1954;Gare de l'Est (Verdun);1001100070001;75110;601650;2430901;48.8764170121, 2.35898704312;0;1;1;1;1;0;0
2020;Censier-Daubenton;1001100070001;75105;601120;2426915;48.8405942592, 2.35175560961;0;1;1;1;1;0;0
1648;Place d'Italie;1001100070001;75113;601383;2425909;48.8315522619, 2.35533343989;0;1;1;1;1;0;0
1685;Tolbiac;1001100070001;75113;601507;2425309;48.8261594131, 2.35701946286;0;1;1;1;1;0;0
1871;Mairie d'Ivry;1001100070001;94041;603454;2423647;48.8112144947, 2.3835089254;0;1;1;1;1;0;0
2134;Cadet;1001100070001;75109;600502;2430835;48.8758256773, 2.34334512124;0;1;1;1;1;0;0
2435;Pyramides;1001100070001;75101;599823;2429797;48.8664969463, 2.33409421193;0;1;1;1;1;0;0
2384;Palais-Royal (Musée du Louvre);1001100070001;75101;599923;2429448;48.8633603817, 2.33545659061;0;1;1;1;1;0;0
2221;Châtelet;1001100070001;75101;600787;2428763;48.8572036047, 2.34722470772;0;1;1;1;1;0;0
2491;Sully-Morland;1001100070001;75104;601816;2428050;48.850793554, 2.36123699038;0;1;1;1;1;0;0
2232;Jussieu;1001100070001;75105;601344;2427513;48.8459683914, 2.35480738936;0;1;1;1;1;0;0
2347;Porte d'Italie;1001100070001;75113;601815;2424511;48.8189864752, 2.36120868218;0;1;1;1;1;0;0
3343334;Balard;1001100080001;75115;595753;2426496;48.836814948, 2.27868334312;0;1;1;1;1;0;0
3343753;Commerce;1001100080001;75115;596864;2427363;48.8446136312, 2.29380297684;0;1;1;1;1;0;0
3343769;Richelieu-Drouot;1001100080001;75109;600250;2430410;48.8720061982, 2.33991138728;0;1;1;1;1;0;0
3343785;Bastille;1001100080001;75104;602398;2428378;48.8537395822, 2.36916481453;0;1;1;1;1;0;0
3343793;Montgallet;1001100080001;75112;603901;2427311;48.8441426903, 2.38962500951;0;1;1;1;1;0;0
3343797;Michel Bizot;1001100080001;75112;604878;2426516;48.8369909969, 2.40291960354;0;1;1;1;1;0;0
3343803;Liberté;1001100080001;94018;605209;2425253;48.8256370709, 2.40741080209;0;1;1;1;1;0;0
3343809;Maisons-Alfort-Stade;1001100080001;94046;607332;2423318;48.8082253066, 2.43627581772;0;1;1;1;1;0;0
3343813;Créteil-L'Echat (Hôpital Henri Mondor);1001100080001;94028;608308;2422026;48.7966012568, 2.44953152104;0;1;1;1;1;0;0
3343819;Pointe du Lac;1001100080001;94028;609498;2418858;48.7681110356, 2.46565028571;0;1;1;1;1;0;0
3343337;Lourmel;1001100080001;75115;596015;2426702;48.8386680882, 2.28224848505;0;1;1;1;1;0;0
3343760;La Tour-Maubourg;1001100080001;75107;598039;2428766;48.8572278199, 2.30979622249;0;1;1;1;1;0;0
3343776;Strasbourg-Saint-Denis;1001100080001;75102;601290;2430118;48.8693807393, 2.35407964886;0;1;1;1;1;0;0
3343786;Bastille;1001100080001;75104;602398;2428378;48.8537395822, 2.36916481453;0;1;1;1;1;0;0
3343804;Liberté;1001100080001;94018;605209;2425253;48.8256370709, 2.40741080209;0;1;1;1;1;0;0
3343808;Ecole Vétérinaire de Maisons-Alfort;1001100080001;94046;606255;2424079;48.8150762793, 2.4216317634;0;1;1;1;1;0;0
1814;Michel-Ange-Auteuil;1001100090001;75116;594693;2427733;48.847924552, 2.26423590245;0;1;1;1;1;0;0
1899;Jasmin;1001100090001;75116;594965;2428235;48.8524384784, 2.26793391967;0;1;1;1;1;0;0
1917;La Muette;1001100090001;75116;595418;2428864;48.8580950089, 2.27409644478;0;1;1;1;1;0;0
1702;Richelieu-Drouot;1001100090001;75109;600207;2430420;48.872096083, 2.33932555252;0;1;1;1;1;0;0
1712;Grands Boulevards;1001100090001;75109;600492;2430355;48.8715117763, 2.34320837421;0;1;1;1;1;0;0
1633;Voltaire (Léon Blum);1001100090001;75111;603196;2428815;48.857663685, 2.38003629346;0;1;1;1;1;0;0
48431;Aéroport Charles de Gaulle 2 TGV;1001110010001;95527;617164;2445145;49.0041985468, 2.57094642069;1;0;1;1;1;1;4
2281;Marne-la-Vallée Chessy;1001110010001;77111;632720;2430112;48.8684969295, 2.78225972723;1;0;1;1;1;1;4
2141;Cergy-Saint-Christophe;1001102000001;95127;577898;2450233;49.049764961, 2.03434511366;1;0;0;0;0;0;1
2131;Bussy-Saint-Georges;1001110010001;77058;627424;2426585;48.8370461511, 2.70988412471;1;0;1;1;1;1;4
